# time, x_measured, y_measured, x_predicted, y_predicted, x_kalman, y_kalman
7.340841865756541296e+00,6.350542367897127178e+02,5.350738913799760894e+02,6.407029628400428010e+02,4.003382939986033762e+02,6.397655659787048990e+02,4.226974463048843518e+02
7.374209328782707296e+00,6.379131055545883555e+02,5.432296276363720153e+02,6.577541468976002079e+02,4.083761216539838301e+02,6.544615584925503526e+02,4.307548407192672926e+02
7.407576791808873296e+00,6.385070020390908212e+02,5.547883387637211854e+02,6.728296508044421671e+02,4.186384133863186889e+02,6.671338632960402037e+02,4.412322711487566380e+02
7.440944254835039295e+00,6.397379082695443913e+02,5.701143986587870813e+02,6.856451016650124757e+02,4.314326732289898132e+02,6.780268778902669737e+02,4.544466790883920453e+02
7.474311717861205295e+00,6.373538670592866993e+02,5.829840656911636643e+02,6.964795968043662242e+02,4.470957360446302573e+02,6.866677785046741747e+02,4.696461824456981162e+02
7.507679180887372183e+00,6.375379593523672384e+02,6.001994395198619259e+02,7.048272680192771986e+02,4.647955067073885971e+02,6.936607171246672578e+02,4.872655682526093983e+02
7.541046643913538183e+00,6.377915476174980540e+02,6.192469982555264778e+02,7.113610326690250076e+02,4.850003959517301837e+02,6.991522967553230501e+02,5.072784003946170515e+02
7.574414106939704183e+00,5.909511108398439774e+02,1.555374023437487949e+03,7.162509057037351567e+02,5.076732826742521070e+02,6.954576093425158660e+02,6.815375098601256241e+02
7.607781569965870183e+00,6.283393626424261811e+02,6.773677111171118668e+02,7.111083439932843930e+02,6.987395394592554112e+02,6.973729666861230498e+02,6.951929194425264313e+02
7.641149032992036183e+00,6.392255881604487513e+02,6.808184211630767777e+02,7.121447909721122187e+02,7.134666762951040937e+02,7.000439683294642919e+02,7.080487516646747963e+02
7.674516496018202183e+00,1.827863381995005511e+03,-2.928772749194977223e+03,7.140319861349908024e+02,7.272061451130005025e+02,8.988704876008722522e+02,1.205024171282072984e+02
7.707883959044368183e+00,6.532586948623840044e+02,7.259960766751879646e+02,9.302857572167242779e+02,8.476817969342957326e+01,8.843135685508366350e+02,1.911789021959485524e+02
7.741251422070534183e+00,6.573581611738816264e+02,7.467841503563815877e+02,9.125143863750010951e+02,1.641813655994824899e+02,8.701716274232960586e+02,2.608633464530119568e+02
7.774618885096700183e+00,6.635605133800962676e+02,7.648252734455991231e+02,8.953055642972810801e+02,2.421378156012362979e+02,8.568478514919165718e+02,3.288769457841195276e+02
7.807986348122867071e+00,6.671517035408004404e+02,7.837629260969331426e+02,8.791010979027960275e+02,3.178988844762359349e+02,8.439284419802224875e+02,3.952082615185622672e+02
7.841353811149033071e+00,6.715729057797036603e+02,8.013113646655147022e+02,8.634475244365246454e+02,3.914598411312141479e+02,8.316062447638759068e+02,4.594740322549388907e+02
7.874721274175199071e+00,6.752628434668083628e+02,8.188861897753939729e+02,8.485554872927542647e+02,4.624111422898136539e+02,8.197978560022605734e+02,5.215675943671907362e+02
7.908088737201365070e+00,6.778952080173801278e+02,8.359420784356369722e+02,8.343323056078609170e+02,5.306484794628762529e+02,8.083718246928888220e+02,5.813114537296512481e+02
7.941456200227531070e+00,6.502843146447655727e+02,8.476562869463652987e+02,8.206326382324892847e+02,5.959917257215259951e+02,7.923636120766911972e+02,6.377550487406034563e+02
7.974823663253697070e+00,6.831909056586698625e+02,8.708982733472223572e+02,8.020300284052475490e+02,6.574177469111760956e+02,7.823088700244111351e+02,6.928444917050394452e+02
8.008191126279863070e+00,6.858321782767333161e+02,8.889409327042437781e+02,7.900572778505447786e+02,7.170737305928607839e+02,7.727612927528161890e+02,7.455948121621003111e+02
8.041558589306029958e+00,6.878989238372089403e+02,9.060696486773321112e+02,7.787355009542085327e+02,7.738958936682428202e+02,7.636613192968330850e+02,7.958299125027281207e+02
8.074926052332195070e+00,6.924075059093859181e+02,9.219790610971017486e+02,7.679962479471951156e+02,8.277092955907069154e+02,7.554524196241970913e+02,8.433532092567130576e+02
8.108293515358361958e+00,6.970111719050844385e+02,9.371071381025190021e+02,7.583207307892871540e+02,8.783178127080049080e+02,7.481465095954398521e+02,8.880738052691415305e+02
8.141660978384527070e+00,7.006510712394284610e+02,9.509196321389124478e+02,7.497163610509468299e+02,9.256419851872166191e+02,7.415740563172928432e+02,9.298367694271765913e+02
8.175028441410693958e+00,7.039819902053336591e+02,9.633480817737769257e+02,7.419920340157399323e+02,9.695329744242462766e+02,7.356843293051839510e+02,9.685066015871024092e+02
8.208395904436859070e+00,7.048013885712493902e+02,9.772609555422503718e+02,7.350870752716283505e+02,1.009863952461205258e+03,7.300612150113463485e+02,1.004453538353638692e+03
8.241763367463025958e+00,7.074861658398624513e+02,9.913621969912114764e+02,7.285416589408316668e+02,1.047061315106043594e+03,7.250475342378783807e+02,1.037818137394437599e+03
8.275130830489192846e+00,7.104850894568138528e+02,1.005826287024141493e+03,7.227270452647555885e+02,1.081298716289545382e+03,7.206955126856113338e+02,1.068774189875199227e+03
8.308498293515357958e+00,7.146840743717557416e+02,1.021462141870020560e+03,7.176953446908865999e+02,1.112785322095524862e+03,7.171956292978236434e+02,1.097630389437299073e+03
8.341865756541524846e+00,5.118114811695065782e+02,1.459787385608882005e+03,7.136494666433854945e+02,1.141876696067217836e+03,6.801547824852488020e+02,1.194633455959034791e+03
8.375233219567689957e+00,7.236966066831121225e+02,1.056836130318260075e+03,6.730011800848324128e+02,1.245349618303500847e+03,6.814140033614431786e+02,1.214066112746982981e+03
8.408600682593856845e+00,7.268118301551073728e+02,1.069676288045768842e+03,6.744010752319703670e+02,1.263676516232110089e+03,6.830985544441916772e+02,1.231482495094818205e+03
8.441968145620021957e+00,7.264159086655982946e+02,1.081646420327434953e+03,6.762872741601830739e+02,1.279774128661304530e+03,6.846060392154823830e+02,1.246895158930016805e+03
8.475335608646188845e+00,7.270943011766994459e+02,1.091249976645566448e+03,6.779970407426883412e+02,1.293672184242195726e+03,6.861446509551666395e+02,1.260080549367509093e+03
8.508703071672353957e+00,7.255133545102444259e+02,1.105400088253069498e+03,6.797562571347350513e+02,1.305141742768260201e+03,6.873495727412425822e+02,1.271994941299344873e+03
8.542070534698520845e+00,7.267014614412264564e+02,1.115971540235617113e+03,6.811638770602930890e+02,1.315243476535576519e+03,6.887207648440950152e+02,1.282174624036008709e+03
8.575437997724687733e+00,7.235985955894888093e+02,1.129835396716914829e+03,6.827656005988636707e+02,1.323481484654233554e+03,6.895417694543016296e+02,1.291346232504359705e+03
8.608805460750852845e+00,7.174923927882243788e+02,1.142710214679326100e+03,6.837758073381077111e+02,1.330662060973455254e+03,6.893710196486376844e+02,1.299471758926777511e+03
8.642172923777019733e+00,7.056934451138836266e+02,1.153462536258335604e+03,6.837126101309977457e+02,1.336752087498808123e+03,6.873602938111229150e+02,1.306335485703749555e+03
8.675540386803184845e+00,6.937963049441933663e+02,1.159803315531248700e+03,6.816518544157593169e+02,1.341523851889667412e+03,6.836672061543241625e+02,1.311367625551932633e+03
8.708907849829351733e+00,6.813237911754474680e+02,1.163949504768333554e+03,6.777723753994417848e+02,1.344363150028645123e+03,6.783617270495592493e+02,1.314423800134371504e+03
8.742275312855516844e+00,6.655681466164396625e+02,1.167145208694395251e+03,6.721565657389779744e+02,1.345122640449210394e+03,6.710632283415827715e+02,1.315587576208348764e+03
8.775642775881683733e+00,6.508488792236156542e+02,1.169921928361966366e+03,6.643941349964220535e+02,1.343904158477482952e+03,6.621463219143347487e+02,1.315032091425821363e+03
8.809010238907848844e+00,5.621530761718737494e+02,1.539303588862176184e+03,6.549017561629041211e+02,1.340906492009479052e+03,6.395102641357703988e+02,1.373830166337890887e+03
